Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 uF","C_0805_2012Metric",129.800000,-77.700000,0.000000,bottom
"C2","0.1 uF","C_0805_2012Metric",129.800000,-75.700000,0.000000,bottom
"C3","0.1uF","C_0805_2012Metric",129.750000,-58.200000,0.000000,bottom
"C4","0.1 uF","C_0805_2012Metric",133.800000,-77.700000,0.000000,bottom
"C5","10 uF","C_0805_2012Metric",133.800000,-75.700000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",133.750000,-58.200000,0.000000,bottom
"C8","10uF","C_0805_2012Metric",133.750000,-56.200000,0.000000,bottom
"C9","1uF","C_0805_2012Metric",127.650000,-62.800000,180.000000,bottom
"R3","10k","R_0805_2012Metric",127.650000,-60.500000,180.000000,bottom
"U1","3.3v 1A","SOT-223-3_TabPin2",131.800000,-69.700000,90.000000,bottom
"U4","D3V3XA4B10LP","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",132.250000,-86.100000,180.000000,bottom
